Risk ID,Risk ID (Reasoning),Risk Description,Risk Description (Reasoning),Mitigating Action,Mitigating Action (Reasoning),Project Category,Project Category (Reasoning),Risk Owner,Risk Owner (Reasoning),Project Stage,Project Stage (Reasoning),Likelihood (1-10) (pre-mitigation),Likelihood (Reasoning),Impact (1-10) (pre-mitigation),Impact (Reasoning),Risk Priority (pre-mitigation),Likelihood (1-10) (post-mitigation),Impact (1-10) (post-mitigation),Risk Priority (post-mitigation),Schema Alignment Log
3,Direct extraction from Risk ID field,Failure to discharge planning and listed building conditions,Matches few-shot style: concise risk statement,Design team and contractor to collate initial pack of information for discharge of conditions,Matches few-shot style: specific action steps,Planning,"Planning is in strict set, matches Risk Category",Project Manager,Planning category correlates with Project Manager,Pre-Construction,Pre-construction maps to Pre-Construction in strict set,3,Direct extraction from Likelihood field,1,Direct extraction from Impact field,Low,1,1,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action'"
4,Direct extraction from Risk ID field,Planning conditions impact on budget,"Matches few-shot style: concise, specific",Extent of conditions known and to be reviewed and managed,Direct extraction from Mitigation field,Planning,"Planning is in strict set, matches raw category",Project Manager,Category Planning correlates with Project Manager,Pre-Construction,Raw Pre-construction maps to Pre-Construction,6,Direct extraction from Likelihood field,5,Direct extraction from Impact field,Med,3,4,Low,"Raw 'Risk Category' maps to Project_Category, 'Project Stage' maps to Project_Stage, 'Likelihood' and 'Impact' map directly."
10,Directly extracted from 'Risk ID'.,Electricity provider works delayed or non-conforming,"Matches the concise, direct style of the examples.",Orders for the electrical services have been placed by CYC direct,"Matches the factual, action-oriented style of examples.",Legislation,"From 'Risk Category: Legislation', which is in the strict set.",Project Manager,"Directly from data, matches strict set.",Construction,"From 'Project Stage: Construction', matches strict set.",3,Directly from 'Likelihood (1-10)' field.,3,Directly from 'Impact (1-10)' field.,Low,1,2,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Likelihood (1-10)' to Likelihood, 'Impact (1-10)' to Impact, 'Risk Owner' to Risk_Owner, 'Mitigation' to Mitigating_Action."
11,Direct from Risk ID field,Building Control Sign Off delay due to lack of resources,Matches few-shot length and tone,Continue liaison with the Building Control Officer,Matches few-shot mitigation style,Legislation,"From Risk Category, matches strict set",Project Manager,Category Legislation correlates with Project Manager,Construction / Commissioning,"From Project Stage, matches strict set",3,Direct from Likelihood field,3,Direct from Impact field,Low,1,2,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action', kept other columns as-is"
12,Directly from raw data.,Impact of boat companies (City Cruises),Mimic the length and tone of the Few-Shot examples.,Legal agreements are in place,Mimic the length and tone of the Few-Shot examples.,Planning,From raw 'Risk Category'.,Project Manager,Category 'Planning' correlates with 'Project Manager'.,Construction,From raw 'Project Stage'.,3,From raw 'Likelihood (1-10)'.,1,From raw 'Impact (1-10)'.,Low,1,1,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action'."
13,Directly extracted from 'Risk ID'.,Party wall negotiations & construction access,Mimic the length and tone of the Few-Shot examples,Appoint party wall surveyor and progress discussions with neighbours,Mimic the length and tone of the Few-Shot examples,Planning,Raw category 'Planning' maps to 'Adjoining Owners' for party wall/neighbour issues.,Project Manager,"Category 'Adjoining Owners' is a stakeholder/commercial issue, correlating to Project Manager.",Pre-Construction,Directly extracted and matched from strict set.,5,Directly extracted from 'Likelihood (1-10)'.,6,Directly extracted from 'Impact (1-10)'.,Med,3,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Likelihood (1-10)' to Likelihood, 'Impact (1-10)' to Impact, 'Risk Owner' to Risk_Owner, 'Mitigation' to Mitigating_Action."
14,Direct extraction from Risk ID field,Failure to secure market interest for restaurant tenant,Matches few-shot style: concise risk statement,Early engagement of agent for potential lettings. Sufficient expressions of interest,Direct extraction from Mitigation field,Procurement,Direct match from Risk Category field,Project Manager,Category Procurement correlates with Project Manager,Pre-Construction / Operation,Direct match from Project Stage field,5,Direct extraction from Likelihood field,8,Direct extraction from Impact field,Med,3,6,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Likelihood (1-10)' to Likelihood, 'Impact (1-10)' to Impact, 'Mitigation' to Mitigating_Action"
16,Directly from 'Risk ID' field.,Increased construction costs,Matches the concise style of the examples.,Tender prices received and under review - Risk shall remain prominent where budget costs / provisional sums are included,Directly from 'Mitigation' field.,Procurement,"From 'Risk Category', matches strict set.",Project Manager,"Category is Procurement, correlates to Project Manager.",Construction,"From 'Project Stage', matches strict set.",5,Directly from 'Likelihood (1-10)' field.,5,Directly from 'Impact (1-10)' field.,Med,3,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action. Likelihood and Impact are direct."
18,Direct extraction from Risk ID field,Sub-contractor insolvency,Matches few-shot style: concise risk statement,Contractor financial checks and vetting of subcontractors,Matches few-shot mitigation length and tone,Procurement,Direct match to strict set category,Construction Manager,Procurement risk aligns with Construction Manager,Construction,Direct match to strict set stage,6,Direct extraction from Likelihood field,5,Direct extraction from Impact field,Med,3,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action, kept Likelihood/Impact as-is"
20,Direct extraction from Risk ID field,Surveys required to determine ground conditions/ contamination,Mimic the length and tone of the Few-Shot examples,"GI survey undertaken, information obtained. Contamination results received. - Desk study provided by Arup",Mimic the length and tone of the Few-Shot examples,Surveys,Risk Category is 'Surveys' which is in strict set,Lead Engineer,Category 'Surveys' correlates with technical owner,Pre-Construction,Project Stage maps directly to strict set,1,Direct extraction from Likelihood field,8,Direct extraction from Impact field,Low,1,6,Low,Raw headers match standard targets directly - no translation needed
21,Direct extraction from Risk ID field,Identification of active movement,Mimic the length and tone of the Few-Shot examples,Ongoing monitoring by ARUP and monitoring specification included within contract documents,Mimic the length and tone of the Few-Shot examples,Surveys,"From Risk Category field, matches strict set",Structural Engineer,Category Surveys correlates with technical owner,Pre-Construction,"From Project Stage field, matches strict set",1,Direct extraction from Likelihood field,8,Direct extraction from Impact field,Low,1,6,Low,"Raw headers match standard targets directly: Risk ID, Risk Description, Project Stage, Risk Category, Likelihood, Impact, Risk Owner, Mitigation"
22,Direct extraction from 'Risk ID'.,Unidentified archaeology,"Mimic few-shot: concise, from 'Risk Description'.",Evaluation of site undertaken,Direct from 'Mitigation' field.,Surveys,"'Risk Category' is 'Surveys', matches strict set.",Environment Lead,Category 'Surveys' correlates with environmental/technical owner.,Pre-Construction,'Project Stage' maps directly to strict set.,3,Direct extraction from field.,3,Direct extraction from field.,Low,1,2,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action'. 'Likelihood' and 'Impact' already match."
23,Direct extraction from Risk ID field,Additional surveys required,Matches few-shot style: concise risk statement,Undertake outstanding surveys,Matches few-shot style: specific action,Surveys,"From strict set, matches Risk Category",Project Manager,"From strict set, Category-Surveys correlates with Project Manager",Pre-Construction,"From strict set, matches Project Stage",1,Direct extraction from Likelihood field,1,Direct extraction from Impact field,Low,1,1,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action'"
26,Directly from 'Risk ID' field.,Unrealistic programme submitted by contractor,Matches input length and tone.,Market tested,Directly from 'Mitigation' field.,Programme,'Programme' is in the strict set.,Project Manager,Category 'Programme' correlates with Project Manager.,Pre-Construction,Direct map from input to strict set.,2,Rounded from 1.6666666666666667.,5,Directly from input.,Low,1,4,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action'. 'Likelihood' and 'Impact' already standard."
27,Directly extracted from raw data.,Programme delays; due to flood levels impacting construction,Mimic the length and tone of the Few-Shot examples,Review historic flood data and issue to Contractor. Contingency plan to be developed,Mimic the length and tone of the Few-Shot examples,Programme,"Raw 'Risk Category' is 'Programme', which is in the strict set.",Project Management,Category 'Programme' correlates with Project Manager; selected first valid owner from list.,Construction,"Raw 'Project Stage' is 'Construction', which is in the strict set.",10,Directly extracted from raw data.,8,Directly extracted from raw data.,High,6,6,Med,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action, 'Likelihood (1-10)' to Likelihood, 'Impact (1-10)' to Impact."
29,Direct extraction from Risk ID field,Delay to design programme,Matches few-shot style: concise risk description,Implementation of IRS schedules design deliverables and clear responsibility for design,Direct extraction from Mitigation field,Design,"From strict set, matches Risk Category",Design Manager,"From strict set, Design category correlates with Design Manager",Pre-Construction,"From strict set, matches Pre-construction",5,Direct extraction from Likelihood field,5,Direct extraction from Impact field,Med,3,4,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action' - all direct matches"
31,Directly extracted from 'Risk ID'.,"Underpinning, piling and crack repairs to be considered",Mimic the length and tone of the Few-Shot examples,"Detailed dilapidations surveys, crack monitors",Mimic the length and tone of the Few-Shot examples,Design,"'Risk Category' is 'Design', which is in the strict set.",Structural Engineer,Category 'Design' correlates with technical owner.,Pre-Construction,"'Project Stage' is 'Pre-construction', maps to 'Pre-Construction'.",5,Directly extracted from 'Likelihood (1-10)'.,8,Directly extracted from 'Impact (1-10)'.,Med,3,6,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action. 'Likelihood' and 'Impact' already standard."
32,Directly extracted from 'Risk ID'.,Discovering structural unknowns,Mimic the length and tone of the Few-Shot examples,Undertake surveys early to determine unknowns. Allow suitable contingency for remediation. Biggest concerns being the tower underpinning and South Range,Mimic the length and tone of the Few-Shot examples,Design,From 'Risk Category: Design' in strict set.,Structural Engineer,Category 'Design' correlates with technical owner.,Construction,From 'Project Stage: Construction' in strict set.,8,Directly from 'Likelihood (1-10)'.,6,Directly from 'Impact (1-10)'.,Med,4,4,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action', 'Likelihood (1-10)' and 'Impact (1-10)' directly."
35,Directly from raw data.,Undetected services not identified on surveys and drawings,"Mimic concise, factual style of examples.",Utilities surveys maps obtained and plotted on SGA drawings. Careful excavation / groundworks when on site,"Directly from 'Mitigation' field, matches example length.",Services,'Services' is in the strict set.,Lead Engineer,Category 'Services' correlates with technical/engineering owner.,Construction,Direct match to strict set.,3,Directly from raw data.,5,Directly from raw data.,Low,1,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action. 'Likelihood' and 'Impact' already standard."
40,Directly from 'Risk ID' field.,River source heat pump license approval by the Environment Agency; Refused,Mimic length and tone of examples.,Provisional consent obtained; continued dialogue required,Mimic length and tone of examples.,Services,'Services' is in the strict set.,Environment Lead,Category 'Services' correlates with 'Environment Lead'.,Pre-Construction,'Pre-construction' maps to 'Pre-Construction' in set.,1,Directly from 'Likelihood (1-10)' field.,6,Directly from 'Impact (1-10)' field.,Low,1,4,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action'. 'Likelihood' and 'Impact' already standard."
41,Direct extraction from Risk ID field,Sourcing stone for remediation works,Mimic the length and tone of the Few-Shot examples,Investigate other quarries which supply the stone. Liaise with Historic England and the planning authority to have an alternative approved.,Direct extraction from Mitigation field,Materials,"Risk Category is Materials, matches strict set",Procurement Manager,Materials category correlates with Procurement Manager,Construction,"Project Stage is Construction, matches strict set",6,Direct extraction from Likelihood (1-10) field,5,Direct extraction from Impact (1-10) field,Med,3,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action, 'Likelihood (1-10)' to Likelihood, 'Impact (1-10)' to Impact"
42,Direct extraction from Risk ID field,Structural damage and the repairs required to the tower,Mimic the length and tone of the Few-Shot examples,Bullivants / Arup design and Vinci temporary works design to be reviewed in detail to mitigate any consequential delay. Building monitoring systems and locations to be agreed.,Mimic the length and tone of the Few-Shot examples,Construction,"From Risk Category field, matches strict set",Structural Engineer,Construction category correlates with Structural Engineer,Construction,Direct match from Project Stage field,6,Direct extraction from Likelihood field,6,Direct extraction from Impact field,Med,3,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action, kept Likelihood/Impact as-is"
48,Directly extracted from 'Risk ID'.,Outstanding defects remaining unresolved,Mimic the length and tone of the Few-Shot examples,Ability to resolve within the building contract. Use of retention,Mimic the length and tone of the Few-Shot examples,Post Contract,'Post contract' maps to 'Post Contract' in strict set.,Project Manager,Category 'Post Contract' correlates with Project Manager.,Commissioning,'Commissioning' is in the strict set.,3,Directly extracted from raw data.,5,Directly extracted from raw data.,Low,1,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action, 'Likelihood' and 'Impact' directly."
50,Directly from raw data.,Costs exceeds allocated budget (Non Construction costs),Matches input length and tone.,Review non construction costs prior to contract award and during construction,Matches input length and tone.,Financial,"From strict set, matches raw 'Risk Category'.",Project Manager,"From strict set, matches raw data.",Construction / Commissioning,"From strict set, matches raw 'Project Stage'.",8,Directly from raw data.,5,Directly from raw data.,Med,4,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action. Likelihood and Impact are direct."
51,Direct extraction from input,Incorrect estimation design errors and ambiguities,Matches few-shot length and tone,Risk sits with CYC except CDP items,Matches few-shot length and tone,Financial,"From strict set, matches input category",Design Manager,"From strict set, matches input owner",Pre-Construction,"From strict set, matches input stage",5,Direct extraction from input,5,Direct extraction from input,Med,3,4,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action'. 'Likelihood' and 'Impact' already match."
56,Direct extraction from Risk ID field,Availability of specialist labour / equipment,Matches few-shot style: concise risk statement,Dialogue with main contractor & supply chain,Matches few-shot mitigation style: specific action,Construction,"From strict set, matches Risk Category",Project Manager,Construction category correlates with Project Manager,Construction,Direct match to strict set,5,Direct extraction from Likelihood field,5,Direct extraction from Impact field,Med,3,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action, kept Likelihood/Impact as-is"
61,Extracted directly from 'Risk ID'.,Poor co-ordination with design team interfaces (contractor design portions),Matches input length and tone of examples.,CDP requirements have reduced from initial intent - Regular meetings to be held with Vinci and Design Team to discuss CDP interfaces.,Matches input length and tone of examples.,Design,"'Risk Category' is 'Design', which is in strict set.",Design Manager,Category 'Design' correlates with 'Design Manager' from set.,Construction,"'Project Stage' is 'Construction', which is in strict set.",3,Extracted directly from 'Likelihood (1-10)'.,5,Extracted directly from 'Impact (1-10)'.,Low,1,4,Low,Raw headers match standard targets directly; no translation needed.
62,Extracted from 'Risk ID' field,Rights of Light,Mimic the length and tone of the Few-Shot examples,Title report does not identify any issues,Mimic the length and tone of the Few-Shot examples,Adjoining Owners,"From 'Risk Category' field, matches strict set",Project Manager,Category 'Adjoining Owners' correlates with stakeholder management,Pre-Construction,"From 'Project Stage' field, matches strict set",1,From 'Likelihood (1-10)' field,6,From 'Impact (1-10)' field,Low,1,4,Low,"Direct mapping: 'Risk Category' → 'Project_Category', 'Project Stage' → 'Project_Stage', 'Risk Owner' → 'Risk_Owner', 'Mitigation' → 'Mitigating_Action'"
64,Direct extraction from raw data,Poor contractor performance during construction,"Matches few-shot style: concise, specific issue",Contract to be signed to protect client - performance bonds to be obtained,Direct extraction from Mitigation field,Construction,"From strict set, matches Risk Category",Project Manager,"From strict set, Construction category correlates with Project Manager",Construction,"From strict set, matches raw Project Stage",3,Direct extraction from raw data,8,Direct extraction from raw data,Med,1,6,Low,"Raw headers already match standard targets: 'Risk ID', 'Risk Description', 'Project Stage', 'Risk Category', 'Likelihood', 'Impact', 'Risk Owner', 'Mitigation' map directly."
66,Direct extraction from Risk ID field,Unknown South Range structures,Mimic few-shot: concise risk description,Risk of discovering old basement causing issues with piling proposals,Impact field used as mitigation description,Design,"From Risk Category field, matches strict set",Structural Engineer,Design category correlates with Structural Engineer,Construction,"From Project Stage field, matches strict set",6,Direct extraction from Likelihood field,5,Direct extraction from Impact field,Med,3,4,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Impact (1-10)' to 'Impact', 'Risk Owner' to 'Risk_Owner'"
67,Direct extraction from Risk ID field,Insufficient design detail from specialist CDP packages,Matches few-shot length and direct style,Regular design reviews and interface management,Matches few-shot mitigation style,Design,"From strict set, matches Risk Category",Design Manager,"From strict set, Design category correlates",Pre-Construction,"From strict set, matches Pre-construction",5,Direct extraction from Likelihood field,1,Direct extraction from Impact field,Low,3,1,Low,"Mapped 'Risk Category' to 'Project_Category', 'Project Stage' to 'Project_Stage', 'Mitigation' to 'Mitigating_Action' - all direct matches"
70,Directly from raw data.,Satisfying EA requirements,Mimic the length and tone of the Few-Shot examples,Waste management and compliance with the EA to ensure no environmental hazards,Mimic the length and tone of the Few-Shot examples,Design,From raw 'Risk Category'.,Environment Lead,Category 'Design' correlates with technical/regulatory owner.,Pre-Construction,From raw 'Project Stage'.,2,Rounded from 1.6666666666666667.,8,Rounded from 8.333333333333334.,Low,1,6,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Mitigation' to Mitigating_Action, 'Likelihood (1-10)' to Likelihood, 'Impact (1-10)' to Impact."
72,Directly extracted from 'Risk ID'.,Delay in design programme due to tenant/operator requirements,Mimic length and tone of examples.,Recovery of cost / time included within the Agreements for Lease should late or significant changes be made,Mimic length and tone of examples.,Design,"From 'Risk Category', matches strict set.",Design Manager,Category 'Design' correlates with Design Manager.,Pre-Construction,"From 'Project Stage', matches strict set.",5,Directly from 'Likelihood (1-10)'.,5,Directly from 'Impact (1-10)'.,Med,3,4,Low,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Likelihood (1-10)' to Likelihood, 'Impact (1-10)' to Impact, 'Risk Owner' to Risk_Owner, 'Mitigation' to Mitigating_Action."
73,Directly extracted from raw data.,Design changes (including client changes/ variations / EOT & loss & expense claims) and unforeseen items,Mimic length and tone of examples.,Traditional contract — risk with CYC; secure adequate contingency,Mimic length and tone of examples.,Financial,"Category from strict set, matches raw 'Financial'.",Project Manager,"Owner from strict set, matches raw data.",Construction,"Stage from strict set, matches raw 'Construction'.",10,Directly extracted from raw data.,8,Directly extracted from raw data.,High,6,6,Med,"Mapped 'Risk Category' to Project_Category, 'Project Stage' to Project_Stage, 'Likelihood' and 'Impact' directly, 'Risk Owner' to Risk_Owner."
